ID, ideology, leadership, name, party, description, introduced_bills_113, cosponsored_bills_113, unique_cosponsors_113, total_cosponsors_113
300043, 0.21197361093, 0.741346294506, Feinstein, Democrat, rank-and-file Democrat, 59, 172, 69, 187
400418, 0.881331266454, 0.472636680133, Vitter, Republican, rank-and-file Republican, 71, 175, 52, 201
400576, 0.987144553356, 0.445417418798, Coburn, Republican, far-right Republican, 21, 145, 54, 172
300055, 1.0, 0.465116193096, Inhofe, Republican, far-right Republican, 23, 206, 47, 100
300041, 0.951462300225, 0.642007639593, Enzi, Republican, far-right Republican leader, 18, 209, 68, 156
300088, 0.856087942637, 0.290002642645, Sessions, Republican, rank-and-file Republican, 4, 110, 22, 27
400432, 0.913076380246, 0.522793379654, Wicker, Republican, far-right Republican leader, 12, 193, 99, 186
400546, 0.897936786419, 0.629284640657, Thune, Republican, moderate Republican leader, 25, 163, 72, 175
400054, 0.819384975312, 0.484781662797, Burr, Republican, rank-and-file Republican, 26, 147, 51, 89
412244, 0.384953382347, 0.695548663693, Tester, Democrat, centrist Democrat, 42, 204, 85, 305
412223, 0.0390878841032, 0.817508827186, Gillibrand, Democrat, far-left Democratic leader, 51, 268, 67, 256
300018, 0.19654178302, 0.504465447375, Cantwell, Democrat, rank-and-file Democrat, 18, 106, 54, 110
412326, 0.237240708785, 0.502559183113, Begich, Democrat, rank-and-file Democrat, 64, 325, 66, 164
300011, 0.0847543440585, 0.754535518983, Boxer, Democrat, far-left Democrat, 48, 221, 88, 266
412325, 0.0955031220051, 0.568546078982, Merkley, Democrat, far-left Democrat, 30, 199, 67, 152
300075, 0.592366366321, 0.566741144065, Murkowski, Republican, centrist Republican leader, 37, 173, 50, 101
300076, 0.105483872072, 0.617362774161, Murray, Democrat, far-left Democrat, 35, 170, 68, 179
300100, 0.230084843742, 0.725887961952, Wyden, Democrat, rank-and-file Democrat, 53, 172, 85, 237
300065, 0.127157272174, 0.804134133833, Leahy, Democrat, moderate Democratic leader, 31, 150, 78, 250
300023, 0.766824852737, 0.204913935594, Cochran, Republican, moderate Republican follower, 10, 192, 34, 50
300082, 0.320903747625, 1.0, Reid, Democrat, moderate Democratic leader, 63, 54, 100, 346
400064, 0.14356364828, 0.799099790996, Cardin, Democrat, moderate Democratic leader, 41, 200, 82, 301
300025, 0.474690223048, 0.614379409161, Collins, Republican, centrist Republican leader, 29, 250, 66, 131
300073, 0.139385039337, 0.553667813367, Mikulski, Democrat, rank-and-file Democrat, 13, 148, 60, 79
300084, 0.238901505853, 0.67042615083, Rockefeller, Democrat, rank-and-file Democrat, 38, 116, 65, 172
300071, 0.751599852016, 0.506874084796, McCain, Republican, rank-and-file Republican, 8, 87, 16, 18
412251, 0.929515667825, 0.407135507276, Barrasso, Republican, far-right Republican, 24, 148, 55, 203
400272, 0.110925200739, 0.998787901191, Menéndez, Democrat, far-left Democratic leader, 73, 159, 102, 645
300087, 0.092421212049, 0.834397426157, Schumer, Democrat, far-left Democratic leader, 49, 206, 79, 236
412324, 0.349884007479, 0.545404041302, Hagan, Democrat, rank-and-file Democrat, 19, 126, 63, 104
412246, 0.23052470775, 0.773258731884, Casey, Democrat, moderate Democratic leader, 51, 161, 84, 324
300064, 0.0563002418321, 0.761475914116, Lautenberg, Democrat, far-left Democratic leader, 32, 97, 66, 246
300080, 0.42976152649, 0.500794510495, Pryor, Democrat, centrist Democrat, 29, 118, 64, 157
400357, 0.0182885701511, 0.566042191412, Sanders, Independent, left-leaning Independent, 51, 142, 59, 172
300058, 0.304324559288, 0.480408755273, Johnson [SD], Democrat, rank-and-file Democrat, 11, 155, 24, 31
300052, 0.771262459729, 0.599132231634, Hatch, Republican, moderate Republican leader, 25, 140, 67, 251
300060, 0.114656870451, 0.696362495712, Kerry, Democrat, far-left Democrat, 1, 0, 0, 0
300093, 0.148121323297, 0.65014541882, Stabenow, Democrat, rank-and-file Democrat, 25, 145, 66, 173
400194, 0.846974068403, 0.517938419646, Isakson, Republican, moderate Republican leader, 13, 204, 52, 75
300066, 0.197196767158, 0.518472309909, Levin, Democrat, rank-and-file Democrat, 24, 118, 60, 95
300083, 0.913500245191, 0.505840911834, Roberts, Republican, far-right Republican, 23, 198, 58, 153
300038, 0.115980353461, 0.871517264103, Durbin, Democrat, moderate Democratic leader, 48, 233, 82, 322
300030, 0.841903772057, 0.463699550361, Crapo, Republican, rank-and-file Republican, 7, 177, 3, 9
412321, 0.398793285497, 0.478211497267, Warner, Democrat, centrist Democrat, 26, 119, 89, 215
300027, 0.886671897104, 0.5, Cornyn, Republican, rank-and-file Republican, 37, 174, 70, 253
412322, 0.98556111299, 0.111331993198, Risch, Republican, lonley far-right Republican follower, 8, 184, 27, 46
